"Genus" "Freq" "Freq_rel"
"160" "Actinomyces" 0 0
"161" "Atopobium" 0 0
"162" "CAG873" 0 0
"163" "Candidatus_Stoquefichus" 0 0
"164" "Catenibacillus" 0 0
"165" "Caulobacter" 0 0
"166" "Elusimicrobium" 0 0
"167" "Erysipelatoclostridium" 0 0
"168" "Eubacterium" 0 0
"169" "Haemophilus" 0 0
"170" "Intestinimonas" 0 0
"171" "Lacticaseibacillus" 0 0
"172" "Leuconostoc" 0 0
"173" "Megamonas" 0 0
"174" "Moryella" 0 0
"175" "Olsenella" 0 0
"176" "Oxalobacter" 0 0
"177" "Porphyromonas" 0 0
"178" "Prevotellaceae_NK3B31_group" 0 0
"179" "Pyramidobacter" 0 0
"180" "Sanguibacteroides" 0 0
"181" "Terrisporobacter" 0 0
"182" "vadinBE97" 0 0
